hpx,n,gflux,bpflux,rpflux
8088,241,3.115990411635925E8,1.4906846046542552E8,2.371147927296458E8
4380,81,9.426010671491086E7,4.854064591920122E7,6.62393495981893E7
6957,70,1.3381416558129337E8,6.978695807311606E7,9.269932824042584E7
3728,462,5.670662597995387E8,2.729154416077823E8,4.3189697700775653E8
11556,131,1.8573095360341483E8,9.405070962775569E7,1.350380651696144E8
5466,276,4.57061067459521E8,2.1676880624523154E8,3.532511619731772E8
2815,103,2.4896740782530078E8,1.2006385992842045E8,1.8726084249794143E8
5028,156,2.741811824549773E8,1.3636933451378125E8,2.0876998758228895E8
4092,164,1.9966414799917743E8,9.776345898318976E7,1.535641834234657E8
7223,878,1.0682634788083329E9,4.66839388375699E8,9.164286509225067E8
1030,169,2.40164861390877E8,1.1950235405545667E8,1.7433415420942053E8
11745,113,1.8357694604876342E8,8.856284597244766E7,1.4065054572118413E8
9653,341,4.671949275527358E8,2.155809210536717E8,3.669785690805085E8
12282,227,3.6946871275902426E8,1.6820324803196204E8,2.981199522287346E8
6424,114,2.4258224265101528E8,1.0520081490236512E8,2.0356764666329348E8
6582,77,1.3525030902286392E8,6.7032921669659495E7,9.967764134821914E7
4774,188,2.539131716949226E8,1.1963566739182046E8,2.0230420809357664E8
5175,294,4.653509411010126E8,2.4210553351711017E8,3.360286642213813E8
8448,178,2.61639001791088E8,1.3104566847900671E8,1.911109517392285E8
4541,89,2.1284759933018366E8,1.0122109339943096E8,1.6124969805886504E8
2090,85,1.2253934927730364E8,5.753964401191605E7,9.178321368192387E7
1461,90,9.049872742236267E7,4.820588298816638E7,6.143107692153248E7
10731,359,4.1144494957768553E8,1.8121945791139728E8,3.392196358353547E8
5941,473,7.751287800387793E8,4.0454531524260837E8,5.53935256638655E8
4121,83,1.2317558802174093E8,6.324899179392128E7,8.632275333413507E7
4406,70,1.3873212525795123E8,6.76463755403223E7,1.021842142235855E8
7351,272,2.4674282294062668E8,8.196376387426522E7,2.5474440549889103E8
5016,126,2.0964658375922754E8,1.0516521493730013E8,1.5109013746553713E8
111,133,1.8362331177830383E8,8.82266017931837E7,1.3621076204672268E8
12003,460,6.127760449549139E8,2.692888862862568E8,5.1514698171681124E8
1943,136,2.5042839362507176E8,1.1610859052124137E8,2.064738559853192E8
10602,385,4.2268178289768535E8,1.560892628608567E8,4.036595295411681E8
777,424,7.947048046885785E8,4.077815741073749E8,5.75039562038936E8
1629,115,2.062882374917128E8,1.0159142382756679E8,1.5585512352091086E8
3542,622,8.864278627942609E8,4.4511261629184043E8,6.661449427251028E8
10285,504,5.667314915540844E8,2.6251249460761103E8,4.610784419094878E8
5625,333,5.601693310261669E8,2.844786411719412E8,4.066277962262331E8
10422,961,1.1622975575226939E9,5.40628202220287E8,9.406011910771552E8
8347,109,2.1566047499492854E8,1.0677252303779414E8,1.5778094153903732E8
629,383,5.146689906536834E8,2.2207261983664006E8,4.391177225207581E8
3780,515,7.918768443843186E8,4.0139044003109527E8,5.853929474369856E8
5320,271,4.756467196922281E8,2.5328181328475252E8,3.2663804866785634E8
886,218,3.334253821722511E8,1.681124956136242E8,2.4499759829432508E8
1252,135,3.000459309392168E8,1.5749589934215632E8,2.0888133530059087E8
11291,156,2.114117235681912E8,9.659471795881343E7,1.6711395495258695E8
3608,935,1.0407399099256874E9,4.5982442866947305E8,8.726225390316441E8
2776,75,1.442622857603456E8,6.893088811144118E7,1.1656925777318722E8
3154,190,2.862008463228305E8,1.487162732416277E8,2.0369468772327062E8
1656,152,2.165153826076681E8,9.292246692183407E7,1.7525518376153386E8
5197,493,7.414204476686187E8,3.858698386190005E8,5.438982304007068E8
3026,126,2.575237515730696E8,1.2580473152453133E8,1.9391231407081303E8
7078,84,1.3100463005347523E8,6.176450219568615E7,1.0354488523178035E8
11099,193,2.632399660414872E8,9.9246861368875E7,2.473019689757135E8
1728,187,2.728970247070736E8,1.3049254687028517E8,2.0799423623398143E8
9332,1117,1.2543854972500865E9,5.83377052460071E8,1.012483553221206E9
5282,159,2.503196939961756E8,1.2441865455534618E8,1.912555466254411E8
1859,105,1.7735649434555715E8,8.982187656834252E7,1.2963258765175684E8
7484,363,3.4636585611854917E8,1.2994199626916927E8,3.2965976750880414E8
9421,720,9.11557679852397E8,4.4639652893819475E8,6.886876240255735E8
12066,190,2.2867770896067733E8,9.766170964245419E7,1.9453179039038357E8
5399,375,5.1962370625795203E8,2.634979036765618E8,3.908631016545069E8
11074,228,2.906023534537475E8,1.3400650951840223E8,2.3644179920747682E8
4986,132,3.188387000883517E8,1.6272845602759087E8,2.3052645371775138E8
2532,141,2.214145515026614E8,1.0978708628326172E8,1.6549416649286094E8
12008,512,5.692246751257507E8,2.508788776491817E8,4.666636493933443E8
9286,442,6.721885760227633E8,2.960108830110253E8,5.660015731462551E8
9906,317,4.9913773358898324E8,2.7404474125384545E8,3.539456711384934E8
8146,299,3.921289052688515E8,1.7573226981302857E8,3.1877907684324753E8
5182,247,4.3026590510255975E8,2.0283481082015648E8,3.323640040811786E8
5011,113,2.097536001311136E8,9.8896096673953E7,1.6098377043784443E8
8645,120,2.6864038686823857E8,1.1728390919623332E8,2.2220838490990108E8
1443,99,2.101258177395053E8,1.071848306444541E8,1.5018255133129546E8
6479,97,1.037953848458588E8,5.228703821050875E7,7.454304771745978E7
7125,62,1.5550735661559424E8,8.438534734703359E7,1.0349137436969301E8
10821,513,6.718483050205381E8,2.909759583386451E8,5.681403355599601E8
9520,659,8.411882779836924E8,4.0107701111480975E8,6.586874230228568E8
8865,92,1.5804536481822824E8,7.470822026965362E7,1.2089348702755563E8
1702,321,4.6435530863232076E8,2.3252192026793268E8,3.5200349416257834E8
3504,507,6.836942202046853E8,3.125002679495804E8,5.622855961481729E8
814,894,1.7882900662956412E9,8.843048014537756E8,1.3846963104687905E9
7931,130,1.8125392133406323E8,8.854812789263643E7,1.3925614176409128E8
2290,107,3.122724854601812E8,1.5440865978170437E8,2.27176236526136E8
11953,502,5.618249630089463E8,2.3951524421655026E8,4.758980305058716E8
8058,411,5.586742556304195E8,2.6684076092285836E8,4.770252907367068E8
9236,205,3.2477818334811324E8,1.6654709405463806E8,2.718385722504787E8
9609,568,7.039608069796948E8,3.561538891363857E8,5.227488477310659E8
12018,398,3.9611331824621475E8,1.7088741079376867E8,3.394058061721179E8
8202,168,2.916645540828754E8,1.3185867607336073E8,2.3714463696791542E8
11395,240,3.443841872715421E8,1.6949414409247866E8,2.737318713061514E8
1613,139,2.922127598447327E8,1.3933379152206814E8,2.258216822997698E8
10246,293,4.010547728138361E8,1.8662063640576684E8,3.109994704193541E8
114,135,2.5546222808402961E8,1.4164491790635267E8,1.686176435606727E8
3868,390,5.290119879201302E8,2.1831582309450707E8,4.6312247894184285E8
3164,200,2.6636679554089642E8,1.2710797735890171E8,2.0138467784583104E8
11296,217,3.592219670134233E8,1.4620891215657663E8,3.131704411141251E8
8113,210,3.725921698968146E8,1.7839069121413788E8,3.0422367443108416E8
11339,143,3.196936468149317E8,1.4794622036044228E8,2.4823775613717225E8
1050,113,1.569063109743112E8,7.880475147412387E7,1.2036066057320374E8
10997,152,2.0042879647990763E8,9.392095636013034E7,1.542027506616794E8
10447,753,9.381914199271581E8,4.411658906458475E8,7.477578445299064E8
2419,182,3.5289681085224175E8,1.6731548141299582E8,2.7195198333753157E8
377,376,5.704046969849285E8,2.655562195657942E8,4.578025324056022E8
7075,74,1.2403084803198308E8,6.043076024209066E7,9.145768094487105E7
9356,190,3.31504492582438E8,1.6340997495423853E8,2.5250338665294108E8
9327,666,8.162672079836751E8,3.776477521176688E8,6.569681715951542E8
2076,115,2.551399689429192E8,1.3236617121591961E8,1.8004843517835695E8
5850,163,2.217778618630709E8,1.0673718321559809E8,1.684481312283958E8
10873,262,4.4250221074280524E8,2.092565605528902E8,3.4404153287542695E8
209,158,3.0522726161960566E8,1.6836028087944752E8,2.0189477647648525E8
1927,133,2.873787798943418E8,1.4258668486722755E8,2.1051709072435433E8
3219,449,5.771133091243778E8,2.5820391005738515E8,4.789936341692414E8
9739,212,3.3213099033482534E8,1.6345877468608028E8,2.53775304330958E8
